name     ,type    ,strDefault ,object ,array ,nowrite ,omitempty ,minimal ,extra ,noaddfld ,doc ,disp ,example ,description
address  ,address ,           ,       ,      ,        ,          ,        ,      ,         ,    ,1    ,        ,
nRecords ,uint64  ,           ,       ,      ,        ,          ,        ,      ,         ,    ,2    ,        ,
fileSize ,uint64  ,           ,       ,      ,        ,          ,        ,      ,         ,    ,3    ,        ,
