#
# Do not edit this file. It will be replaced during upgrade. If you want to add named accounts, add them to names_custom.txt
#
addr	symbol	source	name	logo	description	contract	visible
0x6ba460ab75cd2c56343b3517ffeba60748654d26	UP	Etherscan.io	UpToken	uptoken_28.png	crypto ATM network	true	true
0x6c2adc2073994fb2ccc5032cc2906fa221e9b391	DPY	Etherscan.io	Delphy Token	delphy_28.png	Prediction markets built on the blockchain.	true	true
0x6c6ee5e31d828de241282b9606c8e98ea48526e2	HOT	Etherscan.io	HoloToken	holo_28.png	Holo is a decentralized hosting platform and a new breed of asset-backed, mutual-credit cryptocurrency based on Holochain. Holochain is a massively scalable, agent-centric post-blockchain development framework for distributed applications.	true	true
0x6ec8a24cabdc339a06a172f8223ea557055adaa5	GNX	Etherscan.io	Genaro X	genarox_28_3.png	The Genaro Network is the first Turing-complete public blockchain combining peer-to-peer storage with a sustainable consensus mechanism. Genaro's mixed consensus uses SPoR and PoS, ensuring stronger performance and security.	true	true
0x6f259637dcd74c767781e37bc6133cd6a68aa161	HT	Etherscan.io	HuobiToken	huobi_28.png	Huobi Global is a world-leading cryptocurrency financial services group.	true	true
0x6fb3e0a217407efff7ca062d46c26e5d60a14d69	IOTX	Etherscan.io	IoTeX Network	iotex_28.png	IoTeX is the next generation of the IoT-oriented blockchain platform with vast scalability, privacy, isolatability, and developability. IoTeX connects the physical world, block by block.	true	true
0x6fff3806bbac52a20e0d79bc538d527f6a22c96b	CDX	Etherscan.io	Network	cmadnetwork_28.png	Aims to be a disruptive ad network of creative minds who speak out against the powers that be.	true	true
0x701c244b988a513c945973defa05de933b23fe1d	OAX	Etherscan.io	OpenANX	openanx_28.png	Decentralized Exchange.	true	true
0x705ee96c1c160842c92c1aecfcffccc9c412e3d9	POLL	Etherscan.io	ClearPoll	clearpoll28.png	ClearPoll is a new way to have your say. Simply install the app, browse for polls, and vote on global, national or local issues.	true	true
0x70a72833d6bf7f508c8224ce59ea1ef3d0ea3a38	UTK	Etherscan.io	UTRUST	utrust_28_2.png	Aims to be a safe payment platform in the world for buyers and sellers.	true	true
0x70c621f949b6556c4545707a2d5d73a776b98359	SKCH	Etherscan.io	Skychain Global Token	skychain_28.png	Skychain is an open infrastructure, based on blockchain, which provides the possibility to create, train and use high-quality medical neural networks.	true	true
0x713b73c3994442b533e6a083ec968e40606810ec	EEAR	quickBlocks.io	Eth Early Adoption Reg		An early, known-dead address useful for testing	true	true
0x71d01db8d6a2fbea7f8d434599c237980c234e4c	GLA	Etherscan.io	Gladius	gladius_28.png	DDoS protection network and DCN.	true	true
0x722f2f3eac7e9597c73a593f7cf3de33fbfc3308	CNUS	Etherscan.io	CoinUs	coinus_28.png	CoinUs is a integrated business platform with focus on individual's value and experience to provide Human-to-Blockchain Interface.	true	true
0x72430a612adc007c50e3b6946dbb1bb0fd3101d1	TIC	Etherscan.io	Thingschain	thingschain_28_2.png	Platform for IoT devices based on blockchain technology. It uses a multilayered architecture which provides a solution to the issues faced by current blockchains like lack of scalability and low transaction throughput rate.	true	true
0x72adadb447784dd7ab1f472467750fc485e4cb2d	WRC	Etherscan.io	Worldcore	worldcore28.png	Worldcore is building a transparent business and they aim to become the industry-first company with totally different approach to ICO.	true	true
0x72dd4b6bd852a3aa172be4d6c5a6dbec588cf131	NGC	Etherscan.io	NAGA Coin	nagacoin_28_2.png	The NAGA CARD allows you to fund with cryptos and spend your money (online/offline) all around the globe.	true	true
0x737f98ac8ca59f2c68ad658e3c3d8c8963e40a4c	AMN	Etherscan.io	Amon	amon_28-1.png	Amon Wallet allows you to manage all your assets in one place, with a top-level user experience.	true	true
0x744d70fdbe2ba4cf95131626614a1763df805b9e	SNT	Etherscan.io	StatusNetwork	status.png	Status is an open source messaging platform and mobile browser to interact with decentralized applications that run on the Ethereum Network.	true	true
0x74ceda77281b339142a36817fa5f9e29412bab85	ERO	Etherscan.io	EROSCOIN	eroscoin_28.png	Eroscoin aims to be a platform that empowers & enhances the payment systems.	true	true
