name             ,type   ,strDefault ,object ,array ,nowrite ,omitempty ,minimal ,extra ,noaddfld ,doc ,disp ,example ,description
blockNumber      ,uint64 ,           ,       ,      ,        ,          ,        ,      ,         ,  1 ,     ,        ,The block number of this appearance      ,
transactionIndex ,uint64 ,           ,       ,      ,        ,          ,        ,      ,         ,  2 ,     ,        ,The transaction index of this appearance ,
