name          ,type     ,strDefault ,omitempty ,doc ,description
version       ,string   ,           ,          ,  1 ,the version string hashed into the chunk data
chain         ,string   ,           ,          ,  2 ,the chain to which this manifest belongs
timestampHash ,ipfshash ,           ,          ,  3 ,IPFS cid of file containing timestamps
manifestHash  ,ipfshash ,           ,          ,  5 ,IPFS cid of file containing CIDs for the various chunks
specHash      ,ipfshash ,           ,          ,  4 ,IPFS cid of the specification
