name        ,type    ,strDefault ,object ,array ,nowrite ,omitempty ,minimal ,noaddfld ,doc ,disp ,example                    ,description
blockNumber ,blknum  ,           ,       ,      ,        ,          ,        ,         ,  1 ,   1 ,10021                      ,the block number at which this state was taken
address     ,address ,           ,       ,      ,true    ,          ,        ,         ,  2 ,   2 ,0xa1e4...63b4              ,the address of the state being queried
proxy       ,address ,           ,       ,      ,true    ,          ,        ,         ,  3 ,   3 ,0xa1e4...63b4              ,if this is a proxy&#44; this is the proxied-to address
balance     ,wei     ,           ,       ,      ,        ,          ,        ,         ,  4 ,   4 ,258843698360318500         ,the balance at the address at the given block height
nonce       ,uint64  ,           ,       ,      ,true    ,          ,        ,         ,  5 ,   5 ,115                        ,the nonce of the address at the given block height
code        ,bytes   ,           ,       ,      ,true    ,          ,        ,         ,  6 ,   6 ,0x                         ,the byte code at the address (if this is a smart contract)
deployed    ,blknum  ,           ,       ,      ,true    ,          ,        ,         ,  7 ,   7 ,8901011                    ,the block number at which this smart contract was deployed (if a smart contract)
accttype    ,string  ,           ,       ,      ,true    ,          ,        ,         ,  8 ,   8 ,one of 'EOA' or 'Contract' ,the type of the address at the given block
