name           ,type    ,strDefault ,object ,array ,nowrite ,omitempty ,minimal ,noaddfld ,doc ,disp ,example ,description
address        ,address ,           ,       ,      ,        ,          ,        ,         ,  1 ,     ,        ,the recipient for the withdrawn ether
amount         ,wei     ,           ,       ,      ,        ,          ,        ,         ,  2 ,     ,        ,a nonzero amount of ether given in gwei (1e9 wei)
index          ,uint64  ,           ,       ,      ,        ,          ,        ,         ,  3 ,     ,        ,a monotonically increasing zero-based index that increments by 1 per withdrawal to uniquely identify each withdrawal
validatorIndex ,uint64  ,           ,       ,      ,        ,          ,        ,         ,  4 ,     ,        ,the validator_index of the validator on the consensus layer the withdrawal corresponds to
