name  ,type             ,str_default ,object ,array ,nowrite ,omitempty ,minimal ,extra ,noaddfld ,doc ,disp ,example ,description
addrs ,address          ,            ,true   ,true  ,        ,          ,        ,      ,         ,    ,     ,        ,
items ,monitorCacheItem ,            ,true   ,true  ,        ,          ,        ,      ,         ,    ,     ,        ,
