name      ,type   ,strDefault ,object ,array ,nowrite ,omitempty ,minimal ,extra ,noaddfld ,doc ,disp ,example ,description
max_depth ,uint64 ,NOPOS      ,       ,      ,        ,          ,        ,      ,         ,    ,     ,        ,
items     ,string ,           ,       ,true  ,        ,          ,        ,      ,         ,    ,     ,        ,
