988725,1
988728,2
988732,4
988733,2
988737,9
988752,3
988775,1
988781,5
988783,4
988784,1
988831,2
988838,0
988840,0
988850,5
988949,0
988957,4
988961,3
988966,3
988970,1
988972,2
988986,0
989042,2
989198,3
989332,2
989345,2
992893,13
994377,3
994542,7
997079,10
1014512,3
1016810,6
1017545,4
1044737,1
1079183,2
1100002,3
1100282,1
1100282,2
1100283,1
1115023,27
1117037,2
1118595,2
1119952,9
1120743,14
1120759,4
1123616,3
1124028,1
1124085,1
1124203,14
1124936,1
1125164,2
1126338,0
1126536,0
1126547,12
1126568,0
1126896,2
1127074,0
1127105,0
1127187,0
1127191,0
1127205,1
1129597,0
1129684,1
1129739,7
1133053,2
1138732,2
1139312,1
1139430,10
1140063,0
1142005,3
1142010,1
1142017,2
1142024,1
1142180,0
1142633,26
1143130,22
1144426,2
1144581,5
1144588,2
1144754,1
1144778,1
1145194,5
1145263,15
1145434,0
1145776,10
1145807,4
1145857,1
1146407,7
1146737,0
1146810,4
1146937,2
1147092,9
1147379,3
1148343,1
1148348,0
1148353,1
1148364,10
1148659,0
1149094,9
1150625,2
1150684,0
1150983,0
1151577,7
1151840,0
1152983,2
1153896,2
1154169,2
1159648,0
1161302,3
1162395,3
1166012,0
1166491,1
1166620,0
1166629,0
1167799,10
1168585,5
1168849,1
1172222,0
1172314,1
1172333,7
1176098,1
1178108,1
1178425,1
1180975,1
1181089,2
1184244,1
1186200,4
1186206,0
1186210,1
1186224,3
1186229,2
1186232,20
1188599,18
1199205,1
1199245,0
1209240,12
1209534,4
1211176,2
1211210,4
1211232,6
1211628,17
1211633,6
1211637,10
1212588,1
1216649,0
1219676,1
1221636,0
1232433,1
1243252,0
1244657,4
1245687,11
1246031,4
1246117,2
1246438,7
1247135,3
1247993,0
1248011,0
1248042,0
1253580,20
1254206,2
1254213,1
1254248,5
1254361,0
1254663,5
1255873,0
1256206,5
1256974,1
1256982,17
1257047,0
1257349,21
1258095,1
1259252,4
1259329,0
1259335,0
1260168,0
1261574,1
1263756,13
1263999,18
1282445,5
1285331,3
1288686,3
1293749,0
1294887,16
1299889,24
1301197,0
1302939,2
1303667,9
1303699,3
1306956,0
1307122,4
1318891,4
1325879,0
1327902,2
1330392,4
1330562,1
1353394,9
1354856,5
1356030,7
1362270,5
1363849,1
1367824,0
1367824,1
1367956,0
1368038,5
1369248,1
1373497,14
1391452,7
1392706,0
1411297,16
1414085,1
1415579,2
1416999,3
1418420,0
1431171,21
1433130,0
1433382,46
1433782,2
1434233,3
1435350,18
1435684,10
1435875,0
1437777,3
1439160,0
1439443,8
1441657,1
1443624,5
1445523,4
1450315,7
1451546,3
1453026,29
1453391,1
1453484,36
1454889,1
1455378,16
1456004,7
1459869,0
1463916,0
1463916,3
1464200,4
1469006,0
1477569,9
1478460,1
1480567,12
1481905,1
1481929,0
1486400,7
1488075,0
1488075,2
1488075,4
1488075,6
1488243,14
1488243,16
1488243,17
1488243,18
1488243,19
1488243,20
1488657,4
1488686,4
1489195,7
1490087,1
1492224,1
1492253,2
1494495,0
1494497,0
1498170,1
1498178,4
1498190,15
1499071,2
1500070,2
1502815,17
1503136,0
1505693,13
1505836,19
1505986,3
1508655,0
1508917,8
1511750,4
1513941,11
1514209,3
