name    ,type   ,strDefault ,maxWidth ,object ,array ,nowrite ,omitempty ,minimal ,extra ,noaddfld ,doc ,disp ,example         ,description
tags    ,string ,           ,         ,       ,      ,        ,true      ,        ,      ,         ,  1 ,   1 ,31-Gitcoin:Core ,colon separated list of tags
address ,address ,           ,         ,       ,      ,        ,true      ,        ,      ,         ,  2 ,   2 ,0x1234...4321   ,an address
