0	72009990499480000000000000			16.1708                                          
10000	72010219093230000000000000			7.41467                                          
20000	72010267999480000000000000			12.6686                                          
30000	72010341905730000000000000			17.5445                                          
40000	72010396905730000000000000			17.2176                                          
50000	70628190203301663780196473			10.8801                                          
60000	57162686156588320276171436			14.3383                                          
70000	56178543992782740650635052			17.9004                                          
80000	55511623608718791247387763			10.3302                                          
90000	53910125931694561804349521			19.0259                                          
100000	54004577370923861463370590			12.2483                                          
110000	53052435357036369053280948			22.4884                                          
120000	52863572486636444251010988			13.2802                                          
130000	52380081714857724597928399			13.7773                                          
140000	52258598448127432455012282			19.2021                                          
150000	51992238012072380873890672			14.3387                                          
160000	51858419233130642676956150			17.6948                                          
170000	51593333519970841232230041			9.26991                                          
180000	51494700868955935536617408			16.2051                                          
190000	51394113852624156442974574			22.7039                                          
