"fromName","ethSpent","usdSpent"
"0x1ed2c3edaf1d4ce024cd6ec27b922d52294c49cb (anon)",0.00526728226994947,16.28
"0x1f9fbd2f6a8754cd56d4f56ed35338a63c5bfd1f (hjorthjort)",0.00533787228419876,16.95
"0x1fd8d513b0a485365066ac95bfd25ff37ddf84c2 (anon)",0.005842251550485,18.08
"0x1ff714337aaf68c7e9a513e47dcf6ce7c9d44cae (anon)",0.00084089335503183,1.73
"0x202d0b551f0e137efb419e70e1776b6d578bdbf3 (anon)",0.0024682339377044,6.77
"0x20316e8a4818326a504bbbf96d476d6c94b1c4b2 (anon)",0.00614509862604602,17.07
"0x224e69025a2f705c8f31efb6694398f8fd09ac5c (anon)",0.0334964749584543,107.13
"0x22703a7fe0bba25a8a9d017135219228ffbf0e41 (anon)",0.00113384,2.93
"0x22aaf8a798b34a0b24527f838acf9f65e0d720dc (anon)",0.00619714562556051,19.15
"0x22bfd731b25d54ab7f978eacb54f1a5fe80903eb (anon)",0.00161424004497081,5.18
"0x23b6d8e09cb33b1550de19ac25cc3f41ae4603bb (anon)",0.00468936438513259,21.34
"0x23c4111d6f85de542dd8ad911c7c3cc66e98faa7 (anon)",0.00840935584956456,20.28
"0x241c7a73b6d886a995bf704f408f998b5fcaeda8 (anon)",0.00570890948188723,17.65
"0x243ee1364d3023075dd3bacd9ef31d7f57f8a788 (anon)",0.00500144005629176,15.46
"0x244201f97d6f67d77ff7389dc14c8155a8fd7921 (anon)",0.0050632710608733,15.65
"0x24623d7779d29c76ae0d4d258ebedbc16170414e (anon)",0.00113384,2.93
"0x24dc4ed3dc259de95925a13081c0ecf37ffbd683 (anon)",0.00472638267815022,14.61
"0x24e84cf44ffba84185900d83566a37611a670e0c (anon)",0.00438420926458411,13.51
"0x2684091777c5b34415de038afbbe5d995bcc4fd4 (anon)",0.00637706483592566,19.64
"0x271c140f932d0f5d120335232a66e599c4a7ae28 (anon)",0.00084089335503183,1.73
"0x27331de0261a9513bfef4f8f3e3005c60cf80702 (anon)",0.00550971908903906,18.07
"0x28c2779d125be97125e18b0c3a412b7bea9a3d48 (anon)",0.003899601,12.1
"0x2914ae7e3d398431658f2ea7d892b1b935778d41 (anon)",0.00084089335503183,1.73
"0x29b183fe5d4210f0ddf4301fd8c404e772d6ba12 (anon)",0.00618037980921623,19.12
"0x2a40aaf3e076187b67ccce82e20da5ce27caa2a7 (anon)",0.00536237589623496,21.67
"0x2ac6d067926e4e6070cb0ec211f553e5ab1c9612 (anon)",0.00532127028392384,16.39
"0x2b888954421b424c5d3d9ce9bb67c9bd47537d12 (Lefteris)",0.153294161971532,567.77
"0x2c0f9eb60ee7fdb702d47d2cc9f7c6ae88b20999 (anon)",0.00703799449735627,21.77
"0x2caaab9cf5381309f768b38849ff2bf180ac81e0 (anon)",0.00243403112335932,6.37
