"blockNumber","transactionIndex","timestamp","tx_date","from","gasUsed","gasPrice","gasCost","etherGasCost","spotPrice","usdGasCost","hash","name","function","compressedTx"
"13091317","156","1629851360","2021-08-25 00:29:20","0x8d07d225a769b7af3a923481e1fdf49180e6a265","94248","57000000000","5372136000000000","0.005372136000000000","3182.64","17.10","0x8f7a601c898ea02120b4e655c30ddad380ed844c39bd7be56afcf2d0711964a8","anon","castVote","{name:castVote|type:function|signature:castVote(uint256|bool)|encoding:0x15373e3d|inputs:{proposalId:3|support:true}}"
"13091874","132","1629859062","2021-08-25 02:37:42","0xa29185d464d4a8fbd9ccf3c958cf8419578305ee","65452","82575220415","5404713326602580","0.005404713326602580","3192.81","17.26","0x46e77625ff6b76b1bfbbbb9c192f7345a99595ff106fbaa8f5c9f7b4026809fa","anon","castVote","{name:castVote|type:function|signature:castVote(uint256|bool)|encoding:0x15373e3d|inputs:{proposalId:2|support:true}}"
"13094301","119","1629890932","2021-08-25 11:28:52","0x10d6d2e343281d388291a3e02f3293aaeda67178","96881","65551966475","6350740064064475","0.006350740064064475","3118.94","19.81","0x14e4d1ed92156773f69fe743ced9b049e6d8f61b928de6d4d549c43ef14c78a2","Grant 1707 Llama - a Hub for Crypto Community Treasuries","castVote","{name:castVote|type:function|signature:castVote(uint256|bool)|encoding:0x15373e3d|inputs:{proposalId:3|support:true}}"
"13094889","65","1629899126","2021-08-25 13:45:26","0x5ba02f4ff6af1d9d2af8774d10fd32eb57d4e2e6","70865","67563610054","4787895226476710","0.004787895226476710","3137.84","15.02","0x4d6b24dccd31f222f895fcd5889c7c949aa4679bdfed8333c60957f263d2ef29","anon","castVote","{name:castVote|type:function|signature:castVote(uint256|bool)|encoding:0x15373e3d|inputs:{proposalId:3|support:true}}"
"13094891","272","1629899138","2021-08-25 13:45:38","0x5ba02f4ff6af1d9d2af8774d10fd32eb57d4e2e6","70865","66148965339","4687646428748235","0.004687646428748235","3137.84","14.71","0x37f318af63215128430b70add1a7f26620571a2961b0f99f3fd39fff880623e7","anon","castVote","{name:castVote|type:function|signature:castVote(uint256|bool)|encoding:0x15373e3d|inputs:{proposalId:2|support:true}}"
"13095026","307","1629901083","2021-08-25 14:18:03","0x54becc7560a7be76d72ed76a1f5fee6c5a2a7ab6","99513","85223738117","8480869851237021","0.008480869851237021","3105.52","26.34","0x911197e40f4579dbbbf118386ba35af9bfb635033f123a01857dd480efaafc39","Grant 0747 Simona Pop's Ecosystem Development Activity","castVote","{name:castVote|type:function|signature:castVote(uint256|bool)|encoding:0x15373e3d|inputs:{proposalId:3|support:true}}"
"13095938","217","1629914069","2021-08-25 17:54:29","0x19e10e0bec9f9559444f33c1c8e39c5664eee47b","70865","118867928107","8423575725302555","0.008423575725302555","3220.92","27.13","0xb91a306dcca344b8cc4235a7407de63f1e20bd270f950298341468b521a6a26e","anon","castVote","{name:castVote|type:function|signature:castVote(uint256|bool)|encoding:0x15373e3d|inputs:{proposalId:3|support:true}}"
"13095943","231","1629914165","2021-08-25 17:56:05","0x19e10e0bec9f9559444f33c1c8e39c5664eee47b","70865","137736358286","9760687029937390","0.009760687029937390","3220.92","31.44","0x3097cfc59fb4064f3198466700314ede6c90162d8fe325f27e912c604ab9162b","anon","castVote","{name:castVote|type:function|signature:castVote(uint256|bool)|encoding:0x15373e3d|inputs:{proposalId:2|support:true}}"
"13096983","39","1629927819","2021-08-25 21:43:39","0xa632c031714532dbfaa83551032cb4c13f838ba6","70865","96620735783","6847028441262295","0.006847028441262295","3213.46","22.00","0xd3d2df28d2c01a2d0d8d7a40328ec08a91673db9f4491e26b42e92b86273f39a","anon","castVote","{name:castVote|type:function|signature:castVote(uint256|bool)|encoding:0x15373e3d|inputs:{proposalId:2|support:true}}"
"13096989","186","1629927919","2021-08-25 21:45:19","0xa632c031714532dbfaa83551032cb4c13f838ba6","70865","93893547977","6653766277390105","0.006653766277390105","3213.46","21.38","0xec2da39d2f82282204537858f87c0f0479bc115c689518f42beb9039c63490be","anon","castVote","{name:castVote|type:function|signature:castVote(uint256|bool)|encoding:0x15373e3d|inputs:{proposalId:3|support:true}}"
