address,balance
0x0000000000000000000000000000000000001000,0x0
0x0000000000000000000000000000000000001001,0x0
0x0000000000000000000000000000000000001010,0x204fcce2c5a141f7f9a00000
0x5973918275C01F50555d44e92c9d9b353CaDAD54,0x3635c9adc5dea00000
0xb8bB158B93c94ed35c1970D610d1E2B34E26652c,0x3635c9adc5dea00000
0xF84C74dEa96DF0EC22e11e7C33996C73FCC2D822,0x3635c9adc5dea00000
0xb702f1C9154ac9c08Da247a8e30ee6F2F3373f41,0x3635c9adc5dea00000
0x7fCD58C2D53D980b247F1612FdbA93E9a76193E6,0x3635c9adc5dea00000
0x0375b2fc7140977c9c76D45421564e354ED42277,0x3635c9adc5dea00000
0x42EEfcda06eaD475cdE3731B8eb138e88CD0bAC3,0x3635c9adc5dea00000
