DATE	STARTBLOCK	NERRORS
4/2/16	1259802	55
4/3/16	1265738	36
4/4/16	1271773	409
4/5/16	1277859	100
4/6/16	1283892	340
4/7/16	1289896	102
4/8/16	1295849	51
4/9/16	1301951	72
4/10/16	1307884	43
4/11/16	1313949	50
4/12/16	1319886	46
4/13/16	1325901	466
4/14/16	1331916	42
4/15/16	1337937	51
4/16/16	1343996	36
4/17/16	1350015	41
4/18/16	1356030	62
4/19/16	1362085	31
4/20/16	1368054	58
4/21/16	1374104	36
4/22/16	1380094	71
4/23/16	1386125	36
4/24/16	1392176	42
4/25/16	1398157	66
4/26/16	1404261	291
4/27/16	1410213	632
4/28/16	1416275	965
4/29/16	1422305	1336
4/30/16	1428335	1761
5/1/16	1434393	1311
5/2/16	1440335	527
5/3/16	1446415	245
5/4/16	1452469	207
5/5/16	1458449	3008
5/6/16	1464486	1780
5/7/16	1470508	260
5/8/16	1476496	207
5/9/16	1482547	315
5/10/16	1488591	360
5/11/16	1494603	384
5/12/16	1500517	527
5/13/16	1506616	655
5/14/16	1512680	608
5/15/16	1518638	304
5/16/16	1524653	298
5/17/16	1530614	327
5/18/16	1536685	476
5/19/16	1542748	749
5/20/16	1548759	598
5/21/16	1554796	760
5/22/16	1560777	754
5/23/16	1566861	532
5/24/16	1572874	525
5/25/16	1578884	1043
5/26/16	1584913	536
5/27/16	1590932	872
5/28/16	1596977	1225
5/29/16	1602996	2127
5/30/16	1608997	962
5/31/16	1615004	686
6/1/16	1620940	554
6/2/16	1626979	319
6/3/16	1633051	505
6/4/16	1639080	352
6/5/16	1645096	510
6/6/16	1651059	326
6/7/16	1657167	537
6/8/16	1663157	569
6/9/16	1669248	400
6/10/16	1675340	519
6/11/16	1681242	252
6/12/16	1687356	327
6/13/16	1693421	403
6/14/16	1699505	1029
6/15/16	1705540	1076
6/16/16	1711547	186
6/17/16	1717562	796
6/18/16	1723411	821
6/19/16	1729300	240
6/20/16	1735522	265
6/21/16	1741471	3114
6/22/16	1747470	681
6/23/16	1753609	369
6/24/16	1759612	301
6/25/16	1765654	196
6/26/16	1771652	124
6/27/16	1777704	222
6/28/16	1783756	210
6/29/16	1789823	177
6/30/16	1795814	159
7/1/16	1801799	94
7/2/16	1807926	72
7/3/16	1813929	216
7/4/16	1819974	106
7/5/16	1826041	386
7/6/16	1831990	151
7/7/16	1838078	164
7/8/16	1844114	192
7/9/16	1850110	387
7/10/16	1856236	146
7/11/16	1862282	159
7/12/16	1868311	88
7/13/16	1874317	226
7/14/16	1880403	236
7/15/16	1886404	112
7/16/16	1892392	94
7/17/16	1898473	37
7/18/16	1904502	126
7/19/16	1910611	90
7/20/16	1916581	537
7/21/16	1922527	320
7/22/16	1928681	278
7/23/16	1934638	246
7/24/16	1940731	444
7/25/16	1946668	393
7/26/16	1952698	406
7/27/16	1958507	465
7/28/16	1964682	2602
7/29/16	1970763	318
7/30/16	1976742	197
7/31/16	1982723	175
8/1/16	1988752	968
8/2/16	1994713	257
8/3/16	2000607	554
8/4/16	2006591	200
8/5/16	2012783	153
8/6/16	2018848	102
8/7/16	2024826	124
8/8/16	2030903	253
8/9/16	2036962	248
8/10/16	2043092	166
8/11/16	2049146	119
8/12/16	2055214	115
8/13/16	2061228	117
8/14/16	2067260	101
8/15/16	2073294	156
8/16/16	2079384	173
8/17/16	2085438	161
8/18/16	2091447	371
8/19/16	2097547	258
8/20/16	2103561	209
8/21/16	2109616	192
8/22/16	2115700	224
8/23/16	2121778	174
8/24/16	2127793	143
8/25/16	2133846	237
8/26/16	2139940	278
8/27/16	2145946	218
8/28/16	2152022	240
8/29/16	2158057	293
8/30/16	2164071	418
8/31/16	2170097	386
9/1/16	2176170	422
9/2/16	2182159	786
9/3/16	2188247	203
9/4/16	2194196	191
9/5/16	2200219	223
9/6/16	2206295	449
9/7/16	2212288	363
9/8/16	2218406	356
9/9/16	2224422	858
9/10/16	2230496	194
9/11/16	2236495	291
9/12/16	2242588	308
9/13/16	2248651	247
9/14/16	2254654	231
9/15/16	2260745	446
9/16/16	2266776	881
9/17/16	2272841	852
9/18/16	2278885	266857
9/19/16	2284483	1563781
9/20/16	2290892	150
9/21/16	2297059	186
9/22/16	2303121	126644
9/23/16	2308867	91609
9/24/16	2315093	81825
9/25/16	2320970	6126
9/26/16	2327237	1092
9/27/16	2333080	1703
9/28/16	2339133	23081
9/29/16	2345239	34428
9/30/16	2351365	133872
10/1/16	2357373	43712309
10/2/16	2363153	40469004
10/3/16	2369221	1913166
10/4/16	2375425	1477944
10/5/16	2381502	15916896
10/6/16	2387319	508776
10/7/16	2393272	317237
10/8/16	2399159	10100481
10/9/16	2405359	23192032
10/10/16	2411408	10835952
10/11/16	2417449	280757
10/12/16	2423499	94
10/13/16	2429409	28
10/14/16	2435523	383
10/15/16	2441602	9056
10/16/16	2447629	324
10/17/16	2453684	502
10/18/16	2459643	8082
10/19/16	2465762	8520
10/20/16	2471536	2691
10/21/16	2477834	189
10/22/16	2483931	106
10/23/16	2489972	125
10/24/16	2495965	184
10/25/16	2502030	252
10/26/16	2508058	135
10/27/16	2514154	568
10/28/16	2520172	148
10/29/16	2526115	161
10/30/16	2531783	191
10/31/16	2537842	191
11/1/16	2543934	472
11/2/16	2549773	150
11/3/16	2555725	185
11/4/16	2561675	158
