10000,0,0                                                  
20000,0,0                                                  
30000,0,0                                                  
40000,0,0                                                  
50000,1871,10                                                  
60000,4053,555                                                  
70000,6676,19                                                  
80000,4187,33                                                  
90000,5894,16                                                  
100000,4289,14                                                  
110000,4407,1                                                  
120000,6874,36                                                  
130000,7785,18                                                  
140000,8445,0                                                  
150000,8854,20                                                  
160000,10462,42                                                  
170000,10701,2                                                  
180000,14251,28                                                  
190000,12036,30                                                  
200000,11008,11                                                  
210000,11236,16                                                  
220000,11667,14                                                  
230000,11702,23                                                  
240000,12247,9                                                  
250000,11367,9                                                  
260000,11021,26                                                  
270000,12311,24                                                  
280000,13162,30                                                  
290000,12048,10                                                  
300000,12830,17                                                  
310000,12366,9                                                  
320000,12307,6                                                  
330000,11952,11                                                  
340000,13000,39                                                  
350000,13858,10                                                  
360000,13565,2                                                  
370000,12523,0                                                  
380000,13195,25                                                  
390000,13496,47                                                  
400000,13460,21                                                  
410000,13094,26                                                  
420000,12087,11                                                  
430000,12709,44                                                  
440000,12003,24                                                  
450000,12516,62                                                  
460000,14993,62                                                  
470000,14112,65                                                  
480000,13662,39                                                  
490000,13887,7                                                  
500000,14539,21                                                  
510000,23029,39                                                  
520000,16490,11                                                  
530000,19375,166                                                  
540000,15417,6                                                  
550000,14179,11                                                  
560000,14413,5                                                  
570000,15937,13                                                  
580000,13887,2                                                  
590000,15021,3                                                  
600000,14452,1                                                  
610000,13653,22                                                  
620000,15294,9                                                  
630000,13716,43                                                  
640000,13469,31                                                  
650000,16243,32                                                  
660000,13732,26                                                  
670000,13730,5                                                  
680000,15884,38                                                  
690000,17579,35                                                  
700000,34973,746                                                  
710000,19014,21                                                  
720000,18490,101                                                  
730000,22489,234                                                  
740000,42594,6                                                  
750000,22085,5                                                  
760000,32883,8                                                  
770000,25376,13                                                  
780000,29927,96                                                  
790000,17354,0                                                  
800000,18510,5                                                  
810000,41705,31                                                  
820000,24505,5                                                  
830000,22054,19                                                  
840000,21657,5                                                  
850000,28049,1512                                                  
860000,20220,11                                                  
870000,22678,4                                                  
880000,24186,5                                                  
890000,24998,9                                                  
900000,23435,10                                                  
910000,33692,13                                                  
920000,35306,31                                                  
930000,31009,27                                                  
940000,28696,16                                                  
950000,28044,16                                                  
960000,29620,3                                                  
970000,45419,23                                                  
980000,29906,16                                                  
990000,38337,28                                                  
1000000,36843,26                                                  
1010000,34404,18                                                  
1020000,37898,74                                                  
1030000,35138,56                                                  
1040000,33642,51                                                  
1050000,35269,434                                                  
1060000,38720,707                                                  
1070000,40745,58                                                  
1080000,39922,61                                                  
1090000,44637,36                                                  
1100000,47829,37                                                  
1110000,53793,29                                                  
1120000,49105,24                                                  
1130000,45986,41                                                  
1140000,51622,124                                                  
1150000,54114,35                                                  
1160000,47284,77                                                  
1170000,54914,40                                                  
1180000,55239,38                                                  
1190000,53587,19                                                  
1200000,55072,52                                                  
1210000,56756,27                                                  
1220000,58177,50                                                  
1230000,55799,59                                                  
1240000,56317,72                                                  
1250000,57795,324                                                  
1260000,53942,63                                                  
1270000,48191,35                                                  
1280000,58347,412                                                  
1290000,58818,359                                                  
1300000,54632,91                                                  
1310000,53429,27                                                  
1320000,52147,13                                                  
1330000,54784,18                                                  
1340000,61408,456                                                  
1350000,54140,18                                                  
1360000,64226,39                                                  
1370000,54828,25                                                  
1380000,57454,33                                                  
1390000,53763,45                                                  
1400000,52610,39                                                  
1410000,58632,253                                                  
1420000,54690,1084                                                  
1430000,63971,1977                                                  
1440000,71597,2315                                                  
1450000,66836,680                                                  
1460000,63430,285                                                  
1470000,65569,2467                                                  
1480000,61890,320                                                  
1490000,63814,398                                                  
1500000,69972,567                                                  
1510000,70609,773                                                  
1520000,78913,977                                                  
1530000,67522,416                                                  
1540000,70980,433                                                  
1550000,74991,370                                                  
1560000,74894,412                                                  
1570000,64322,272                                                  
1580000,72397,423                                                  
1590000,84203,473                                                  
1600000,92054,1245                                                  
1610000,86014,904                                                  
1620000,72805,587                                                  
1630000,68090,267                                                  
1640000,67918,222                                                  
1650000,62735,245                                                  
1660000,64434,175                                                  
1670000,71291,304                                                  
1680000,67669,254                                                  
1690000,64073,182                                                  
1700000,74747,259                                                  
1710000,75354,726                                                  
1720000,79974,253                                                  
1730000,115711,781                                                  
1740000,72667,202                                                  
1750000,83182,424                                                  
1760000,74780,440                                                  
1770000,68251,247                                                  
1780000,65992,89                                                  
1790000,70772,150                                                  
1800000,100652,168                                                  
1810000,64961,73                                                  
1820000,65606,115                                                  
1830000,65380,77                                                  
1840000,64231,64                                                  
1850000,69187,136                                                  
1860000,68992,183                                                  
1870000,60735,145                                                  
1880000,63088,71                                                  
1890000,73116,66                                                  
1900000,60580,88                                                  
1910000,57503,47                                                  
1920000,76095,79                                                  
1930000,78347,369                                                  
1940000,81795,252                                                  
1950000,91756,344                                                  
1960000,97383,347                                                  
1970000,86442,474                                                  
1980000,71382,255                                                  
1990000,80278,179                                                  
2000000,81391,974                                                  
2010000,80796,210                                                  
2020000,69772,102                                                  
2030000,73362,99                                                  
2040000,66534,154                                                  
