DATE	ENDBLOCK
7/2/16	1813928
7/3/16	1819973
7/4/16	1826040
7/5/16	1831989
7/6/16	1838077
7/7/16	1844113
7/8/16	1850109
7/9/16	1856235
7/10/16	1862281
7/11/16	1868310
7/12/16	1874316
7/13/16	1880402
7/14/16	1886403
7/15/16	1892391
7/16/16	1898472
7/17/16	1904501
7/18/16	1910610
7/19/16	1916580
7/20/16	1922526
7/21/16	1928680
7/22/16	1934637
7/23/16	1940730
7/24/16	1946667
7/25/16	1952697
7/26/16	1958506
7/27/16	1964681
7/28/16	1970762
7/29/16	1976741
7/30/16	1982722
7/31/16	1988751
8/1/16	1994712
8/2/16	2000606
8/3/16	2006590
8/4/16	2012782
8/5/16	2018847
8/6/16	2024825
8/7/16	2030902
8/8/16	2036961
8/9/16	2043091
8/10/16	2049145
8/11/16	2055213
8/12/16	2061227
8/13/16	2067259
8/14/16	2073293
8/15/16	2079383
8/16/16	2085437
8/17/16	2091446
8/18/16	2097546
8/19/16	2103560
8/20/16	2109615
8/21/16	2115699
8/22/16	2121777
8/23/16	2127792
8/24/16	2133845
8/25/16	2139939
8/26/16	2145945
8/27/16	2152021
8/28/16	2158056
8/29/16	2164070
8/30/16	2170096
8/31/16	2176169
9/1/16	2182158
9/2/16	2188246
9/3/16	2194195
9/4/16	2200218
9/5/16	2206294
9/6/16	2212287
9/7/16	2218405
9/8/16	2224421
9/9/16	2230495
9/10/16	2236494
9/11/16	2242587
9/12/16	2248650
9/13/16	2254653
9/14/16	2260744
9/15/16	2266775
9/16/16	2272840
9/17/16	2278884
9/18/16	2284482
9/19/16	2290891
9/20/16	2297058
9/21/16	2303120
9/22/16	2308866
9/23/16	2315092
9/24/16	2320969
9/25/16	2327236
9/26/16	2333079
9/27/16	2339132
9/28/16	2345238
9/29/16	2351364
9/30/16	2357372
10/1/16	2363152
10/2/16	2369220
10/3/16	2375424
10/4/16	2381501
10/5/16	2387318
10/6/16	2393271
10/7/16	2399158
10/8/16	2405358
10/9/16	2411407
10/10/16	2417448
10/11/16	2423498
10/12/16	2429408
10/13/16	2435522
10/14/16	2441601
10/15/16	2447628
10/16/16	2453683
