DATE	#TRACES_CREATE
8/27/16	80
8/28/16	49
8/29/16	102
8/30/16	148
8/31/16	191
9/1/16	376
9/2/16	259
9/3/16	127
9/4/16	262
9/5/16	317
9/6/16	276
9/7/16	189
9/8/16	170
9/9/16	455
9/10/16	311
9/11/16	88
9/12/16	884
9/13/16	134
9/14/16	250
9/15/16	193
9/16/16	251
9/17/16	86
9/18/16	186
9/19/16	56
9/20/16	166
9/21/16	294
9/22/16	112
9/23/16	38
9/24/16	150
9/25/16	116
9/26/16	90
9/27/16	124
9/28/16	155
9/29/16	512
9/30/16	295
10/1/16	79
10/2/16	225
10/3/16	657
10/4/16	22601
10/5/16	876
10/6/16	949
10/7/16	220
10/8/16	604
10/9/16	723
10/10/16	1234
10/11/16	4112
10/12/16	6954
10/13/16	14793
10/14/16	11053
10/15/16	2226
10/16/16	3653
10/17/16	3359
10/18/16	3168
10/19/16	285
10/20/16	112
10/21/16	47
10/22/16	268
10/23/16	58
10/24/16	125
10/25/16	1069
10/26/16	368
10/27/16	209
10/28/16	451
10/29/16	74
10/30/16	195
10/31/16	154
11/1/16	528
11/2/16	97
11/3/16	80
11/4/16	68
11/5/16	91
11/6/16	94
11/7/16	75
11/8/16	154
11/9/16	180
11/10/16	454
11/11/16	154
11/12/16	107
11/13/16	165
11/14/16	315
11/15/16	200
11/16/16	300
11/17/16	116
11/18/16	229
11/19/16	78
11/20/16	234
11/21/16	578
11/22/16	120
11/23/16	114
11/24/16	537
11/25/16	6892
11/26/16	1555
11/27/16	1086
11/28/16	116
11/29/16	158
11/30/16	137
12/1/16	162
12/2/16	684
12/3/16	2356
12/4/16	2550
12/5/16	3088
12/6/16	428
12/7/16	224
12/8/16	161
12/9/16	293
12/10/16	1316
12/11/16	380
12/12/16	211
12/13/16	181
12/14/16	152
12/15/16	104
12/16/16	115
12/17/16	855
12/18/16	188
12/19/16	580
12/20/16	241
12/21/16	182
12/22/16	118
12/23/16	98
12/24/16	99
12/25/16	64
12/26/16	110
12/27/16	276
12/28/16	175
12/29/16	346
12/30/16	271
12/31/16	454
1/1/17	183
1/2/17	243
1/3/17	170
1/4/17	340
1/5/17	207
1/6/17	383
1/7/17	299
1/8/17	235
1/9/17	283
1/10/17	219
1/11/17	221
1/12/17	771
1/13/17	1056
1/14/17	808
1/15/17	252
1/16/17	97
1/17/17	220
1/18/17	325
1/19/17	185
1/20/17	456
1/21/17	108
1/22/17	111
1/23/17	343
1/24/17	197
1/25/17	193
1/26/17	518
1/27/17	271
1/28/17	473
1/29/17	164
1/30/17	525
1/31/17	102
2/1/17	328
2/2/17	235
2/3/17	183
2/4/17	329
2/5/17	159
2/6/17	147
2/7/17	384
2/8/17	703
2/9/17	163
2/10/17	172
2/11/17	259
2/12/17	535
2/13/17	263
2/14/17	273
2/15/17	338
2/16/17	172
2/17/17	240
2/18/17	970
2/19/17	244
2/20/17	293
2/21/17	1017
2/22/17	480
2/23/17	342
2/24/17	226
2/25/17	115
2/26/17	143
2/27/17	233
2/28/17	212
3/1/17	1214
3/2/17	406
3/3/17	517
3/4/17	115
3/5/17	581
3/6/17	119
3/7/17	107
3/8/17	159
3/9/17	216
3/10/17	1067
3/11/17	156
3/12/17	165
3/13/17	520
3/14/17	1020
3/15/17	1087
3/16/17	1500
3/17/17	429
3/18/17	242
3/19/17	235
3/20/17	406
3/21/17	476
3/22/17	697
3/23/17	547
3/24/17	1035
3/25/17	263
3/26/17	275
3/27/17	3123
3/28/17	530
3/29/17	381
3/30/17	833
3/31/17	834
4/1/17	623
4/2/17	556
4/3/17	885
4/4/17	1007
4/5/17	1576
4/6/17	1087
4/7/17	931
4/8/17	1004
4/9/17	709
4/10/17	694
4/11/17	319
4/12/17	3298
4/13/17	246
4/14/17	769
4/15/17	423
4/16/17	310
4/17/17	720
4/18/17	1190
4/19/17	1027
4/20/17	1674
4/21/17	5040
4/22/17	2034
4/23/17	607
4/24/17	1737
4/25/17	1050
4/26/17	2746
4/27/17	3698
4/28/17	1181
4/29/17	813
4/30/17	1235
5/1/17	2760
5/2/17	3270
5/3/17	654
5/4/17	2464
5/5/17	1165
5/6/17	3296
5/7/17	4735
5/8/17	2217
5/9/17	4745
5/10/17	5660
5/11/17	3949
5/12/17	3909
5/13/17	3804
5/14/17	3792
5/15/17	5133
5/16/17	6185
5/17/17	5181
5/18/17	5807
5/19/17	6718
5/20/17	7094
5/21/17	6085
5/22/17	7213
5/23/17	12479
5/24/17	14025
5/25/17	9949
5/26/17	8769
5/27/17	7673
5/28/17	8163
5/29/17	7972
5/30/17	16242
5/31/17	7848
6/1/17	18420
6/2/17	14999
6/3/17	9137
6/4/17	11326
6/5/17	7724
6/6/17	10734
6/7/17	13330
6/8/17	8933
6/9/17	8787
6/10/17	7450
6/11/17	14940
6/12/17	9684
6/13/17	9265
6/14/17	9097
6/15/17	8828
6/16/17	9033
6/17/17	7612
6/18/17	11181
6/19/17	12792
6/20/17	5002
6/21/17	3140
6/22/17	12422
6/23/17	11544
6/24/17	9524
6/25/17	14163
6/26/17	7251
6/27/17	5485
6/28/17	11689
6/29/17	11734
6/30/17	14536
7/1/17	8095
7/2/17	7602
7/3/17	15728
7/4/17	9600
7/5/17	12704
7/6/17	5642
7/7/17	9355
7/8/17	12974
7/9/17	9786
7/10/17	3729
7/11/17	5007
7/12/17	7064
7/13/17	19110
7/14/17	5390
7/15/17	3513
7/16/17	4685
7/17/17	11697
7/18/17	19543
7/19/17	6170
7/20/17	13528
7/21/17	12004
7/22/17	7281
7/23/17	9759
7/24/17	9832
7/25/17	13427
7/26/17	10867
7/27/17	4941
7/28/17	4529
7/29/17	5219
7/30/17	10399
7/31/17	10242
8/1/17	14527
8/2/17	10282
8/3/17	14884
8/4/17	8392
8/5/17	8127
8/6/17	14191
8/7/17	17591
8/8/17	14236
8/9/17	14684
8/10/17	13354
8/11/17	15383
8/12/17	19180
8/13/17	22354
8/14/17	28399
8/15/17	31559
8/16/17	8016
8/17/17	15954
8/18/17	16631
8/19/17	24234
8/20/17	26463
8/21/17	15227
8/22/17	17470
8/23/17	17340
8/24/17	8834
8/25/17	5680
8/26/17	9350
8/27/17	12600
8/28/17	10879
8/29/17	13511
8/30/17	13847
8/31/17	15243
9/1/17	14452
9/2/17	14517
9/3/17	15059
9/4/17	11552
9/5/17	12666
9/6/17	9962
9/7/17	15903
9/8/17	15425
9/9/17	18557
9/10/17	15713
9/11/17	16862
9/12/17	7348
9/13/17	11187
9/14/17	7535
9/15/17	4525
9/16/17	14899
9/17/17	12715
9/18/17	9083
9/19/17	8582
9/20/17	30309
9/21/17	28813
9/22/17	7151
9/23/17	7269
9/24/17	5760
9/25/17	8392
9/26/17	26060
9/27/17	24709
9/28/17	17438
9/29/17	8311
9/30/17	11893
10/1/17	6987
10/2/17	11158
10/3/17	13538
10/4/17	12861
10/5/17	2111
10/6/17	2930
10/7/17	6061
10/8/17	10762
10/9/17	16080
10/10/17	3770
10/11/17	6403
10/12/17	7436
10/13/17	3317
10/14/17	6666
10/15/17	12943
10/16/17	18546
10/17/17	15480
10/18/17	10260
10/19/17	24018
10/20/17	24914
10/21/17	10313
10/22/17	18628
10/23/17	25896
10/24/17	41255
10/25/17	34112
10/26/17	31269
10/27/17	20027
10/28/17	5276
10/29/17	4584
10/30/17	7964
10/31/17	26017
11/1/17	27486
11/2/17	26223
11/3/17	15471
11/4/17	16632
11/5/17	14690
11/6/17	17833
11/7/17	8321
11/8/17	22842
11/9/17	51005
11/10/17	42632
11/11/17	30619
11/12/17	27058
11/13/17	29058
11/14/17	22706
11/15/17	32316
11/16/17	37192
11/17/17	39381
11/18/17	20099
11/19/17	15531
11/20/17	11957
11/21/17	13920
11/22/17	17564
11/23/17	20912
11/24/17	20577
11/25/17	17321
11/26/17	19373
11/27/17	11187
11/28/17	27824
11/29/17	13019
11/30/17	9627
12/1/17	19171
12/2/17	10492
12/3/17	8430
12/4/17	13434
12/5/17	10504
12/6/17	14974
12/7/17	35118
12/8/17	8587
12/9/17	11236
12/10/17	16457
12/11/17	8949
12/12/17	7757
12/13/17	18783
12/14/17	29558
12/15/17	24683
12/16/17	22505
12/17/17	43870
12/18/17	45716
12/19/17	19791
12/20/17	22591
12/21/17	19488
12/22/17	28313
12/23/17	35122
12/24/17	69325
12/25/17	61575
12/26/17	66761
12/27/17	46023
12/28/17	37127
12/29/17	35636
12/30/17	28551
12/31/17	52321
1/1/18	66354
1/2/18	30147
1/3/18	16506
1/4/18	9464
1/5/18	7505
1/6/18	8687
1/7/18	13678
1/8/18	12329
1/9/18	12211
1/10/18	23995
1/11/18	16179
1/12/18	20964
1/13/18	20707
1/14/18	32519
1/15/18	16368
1/16/18	11351
1/17/18	10988
1/18/18	8679
1/19/18	8978
1/20/18	14108
1/21/18	27232
1/22/18	48157
1/23/18	65971
1/24/18	71327
1/25/18	49605
1/26/18	15557
1/27/18	21434
1/28/18	27137
1/29/18	23569
1/30/18	30991
1/31/18	24159
2/1/18	12262
2/2/18	16222
2/3/18	39604
2/4/18	31567
2/5/18	33065
2/6/18	21598
2/7/18	23023
2/8/18	30502
2/9/18	26398
2/10/18	26486
2/11/18	26996
2/12/18	21484
2/13/18	23997
2/14/18	26623
2/15/18	28250
2/16/18	29500
2/17/18	28807
2/18/18	26527
2/19/18	32288
2/20/18	11235
2/21/18	8578
2/22/18	10886
2/23/18	11329
2/24/18	7236
2/25/18	8874
2/26/18	15725
2/27/18	18455
2/28/18	12612
3/1/18	12230
3/2/18	19954
3/3/18	15021
3/4/18	12421
3/5/18	14380
3/6/18	17518
3/7/18	17732
3/8/18	15500
3/9/18	14918
3/10/18	15815
3/11/18	14195
3/12/18	7395
3/13/18	11019
3/14/18	14381
3/15/18	16449
3/16/18	10383
3/17/18	3947
3/18/18	4133
3/19/18	5920
3/20/18	15092
3/21/18	27762
3/22/18	35949
3/23/18	35411
3/24/18	28451
3/25/18	25238
3/26/18	16699
3/27/18	12905
3/28/18	5622
3/29/18	5987
3/30/18	11471
3/31/18	11524
4/1/18	28630
4/2/18	30385
4/3/18	26121
4/4/18	48752
4/5/18	48857
4/6/18	50299
4/7/18	30624
4/8/18	24736
4/9/18	14299
4/10/18	18977
4/11/18	23075
4/12/18	14584
4/13/18	22209
4/14/18	23246
4/15/18	14968
4/16/18	26732
4/17/18	16845
4/18/18	26589
4/19/18	14856
4/20/18	11273
4/21/18	44760
4/22/18	34701
4/23/18	24775
4/24/18	16454
4/25/18	10165
4/26/18	7306
4/27/18	10660
4/28/18	3522
