DATE	STARTBLOCK
5/23/16	1566861
5/24/16	1572874
5/25/16	1578884
5/26/16	1584913
5/27/16	1590932
5/28/16	1596977
5/29/16	1602996
5/30/16	1608997
5/31/16	1615004
6/1/16	1620940
6/2/16	1626979
6/3/16	1633051
6/4/16	1639080
6/5/16	1645096
6/6/16	1651059
6/7/16	1657167
6/8/16	1663157
6/9/16	1669248
6/10/16	1675340
6/11/16	1681242
6/12/16	1687356
6/13/16	1693421
6/14/16	1699505
6/15/16	1705540
6/16/16	1711547
6/17/16	1717562
6/18/16	1723411
6/19/16	1729300
6/20/16	1735522
6/21/16	1741471
6/22/16	1747470
6/23/16	1753609
6/24/16	1759612
6/25/16	1765654
6/26/16	1771652
6/27/16	1777704
6/28/16	1783756
6/29/16	1789823
6/30/16	1795814
7/1/16	1801799
7/2/16	1807926
7/3/16	1813929
7/4/16	1819974
7/5/16	1826041
7/6/16	1831990
7/7/16	1838078
7/8/16	1844114
7/9/16	1850110
7/10/16	1856236
7/11/16	1862282
7/12/16	1868311
7/13/16	1874317
7/14/16	1880403
7/15/16	1886404
7/16/16	1892392
7/17/16	1898473
7/18/16	1904502
7/19/16	1910611
7/20/16	1916581
7/21/16	1922527
7/22/16	1928681
7/23/16	1934638
7/24/16	1940731
7/25/16	1946668
7/26/16	1952698
7/27/16	1958507
7/28/16	1964682
7/29/16	1970763
7/30/16	1976742
7/31/16	1982723
8/1/16	1988752
8/2/16	1994713
8/3/16	2000607
8/4/16	2006591
8/5/16	2012783
8/6/16	2018848
8/7/16	2024826
8/8/16	2030903
8/9/16	2036962
8/10/16	2043092
8/11/16	2049146
8/12/16	2055214
8/13/16	2061228
8/14/16	2067260
8/15/16	2073294
8/16/16	2079384
8/17/16	2085438
8/18/16	2091447
8/19/16	2097547
8/20/16	2103561
8/21/16	2109616
8/22/16	2115700
8/23/16	2121778
8/24/16	2127793
8/25/16	2133846
8/26/16	2139940
8/27/16	2145946
8/28/16	2152022
8/29/16	2158057
8/30/16	2164071
8/31/16	2170097
9/1/16	2176170
9/2/16	2182159
9/3/16	2188247
9/4/16	2194196
9/5/16	2200219
9/6/16	2206295
9/7/16	2212288
9/8/16	2218406
9/9/16	2224422
9/10/16	2230496
9/11/16	2236495
9/12/16	2242588
9/13/16	2248651
9/14/16	2254654
9/15/16	2260745
9/16/16	2266776
9/17/16	2272841
9/18/16	2278885
9/19/16	2284483
9/20/16	2290892
9/21/16	2297059
9/22/16	2303121
9/23/16	2308867
9/24/16	2315093
9/25/16	2320970
9/26/16	2327237
9/27/16	2333080
9/28/16	2339133
9/29/16	2345239
9/30/16	2351365
10/1/16	2357373
10/2/16	2363153
10/3/16	2369221
10/4/16	2375425
10/5/16	2381502
10/6/16	2387319
10/7/16	2393272
10/8/16	2399159
10/9/16	2405359
10/10/16	2411408
10/11/16	2417449
10/12/16	2423499
10/13/16	2429409
10/14/16	2435523
10/15/16	2441602
10/16/16	2447629
10/17/16	2453684
10/18/16	2459643
10/19/16	2465762
10/20/16	2471536
10/21/16	2477834
10/22/16	2483931
10/23/16	2489972
10/24/16	2495965
10/25/16	2502030
10/26/16	2508058
10/27/16	2514154
10/28/16	2520172
10/29/16	2526115
10/30/16	2531783
10/31/16	2537842
11/1/16	2543934
11/2/16	2549773
11/3/16	2555725
11/4/16	2561675
11/5/16	2567579
11/6/16	2573575
11/7/16	2579629
11/8/16	2585944
11/9/16	2592103
11/10/16	2598027
11/11/16	2603993
11/12/16	2609985
11/13/16	2616071
11/14/16	2622274
11/15/16	2628341
11/16/16	2634347
11/17/16	2640392
11/18/16	2646260
11/19/16	2652549
11/20/16	2658699
11/21/16	2664878
11/22/16	2670951
11/23/16	2676873
11/24/16	2682710
11/25/16	2688624
11/26/16	2694735
11/27/16	2700673
11/28/16	2706618
11/29/16	2712660
11/30/16	2718648
12/1/16	2724709
12/2/16	2730766
12/3/16	2736841
12/4/16	2743001
12/5/16	2748984
12/6/16	2754988
12/7/16	2761077
12/8/16	2767150
12/9/16	2773275
12/10/16	2779325
12/11/16	2785400
12/12/16	2791498
12/13/16	2797497
12/14/16	2803567
12/15/16	2809647
12/16/16	2815648
12/17/16	2821723
12/18/16	2827839
12/19/16	2833935
12/20/16	2839967
12/21/16	2846036
12/22/16	2852106
12/23/16	2858062
12/24/16	2864016
12/25/16	2870022
12/26/16	2876149
