DATE	#TRACES
7/19/16	53618
7/20/16	61617
7/21/16	57753
7/22/16	55855
7/23/16	61066
7/24/16	76369
7/25/16	74066
7/26/16	80545
7/27/16	72557
7/28/16	117666
7/29/16	130838
7/30/16	76609
7/31/16	63595
8/1/16	66080
8/2/16	70484
8/3/16	70924
8/4/16	66149
8/5/16	58295
8/6/16	56472
8/7/16	62836
8/8/16	165879
8/9/16	68041
8/10/16	64186
8/11/16	66010
8/12/16	59842
8/13/16	57118
8/14/16	54686
8/15/16	59557
8/16/16	66754
8/17/16	61755
8/18/16	68754
8/19/16	63450
8/20/16	56553
8/21/16	60155
8/22/16	62986
8/23/16	78902
8/24/16	62389
8/25/16	65013
8/26/16	63598
8/27/16	61085
8/28/16	60075
8/29/16	62177
8/30/16	64675
8/31/16	64303
9/1/16	64064
9/2/16	79507
9/3/16	59445
9/4/16	63234
9/5/16	57346
9/6/16	64797
9/7/16	65414
9/8/16	73526
9/9/16	69165
9/10/16	56899
9/11/16	59196
9/12/16	63565
9/13/16	58378
9/14/16	68987
9/15/16	67042
9/16/16	74340
9/17/16	70734
9/18/16	326243
9/19/16	1682199
9/20/16	76214
9/21/16	64623
9/22/16	308324
9/23/16	137196
9/24/16	132665
9/25/16	65806
9/26/16	7470877
9/27/16	59610
9/28/16	84897
9/29/16	97555
9/30/16	186917
10/1/16	43950523
10/2/16	40861743
10/3/16	10924126
10/4/16	4794617
10/5/16	24923269
10/6/16	1298583
10/7/16	718292
10/8/16	10381097
10/9/16	23396471
10/10/16	11028564
10/11/16	5049298
10/12/16	14855103
10/13/16	10652918
10/14/16	6294124
10/15/16	1441096
10/16/16	2379830
10/17/16	2168574
10/18/16	1796878
10/19/16	50989
10/20/16	57698
10/21/16	82484
10/22/16	55078
10/23/16	49969
10/24/16	70067
10/25/16	64936
10/26/16	61510
10/27/16	61076
10/28/16	58537
10/29/16	53554
10/30/16	50911
10/31/16	59892
11/1/16	65096
11/2/16	56736
11/3/16	56075
11/4/16	43036
11/5/16	48273
11/6/16	45761
11/7/16	56056
11/8/16	59668
11/9/16	65610
11/10/16	56439
11/11/16	58751
11/12/16	55131
11/13/16	62414
11/14/16	59409
11/15/16	62135
11/16/16	58826
11/17/16	55232
11/18/16	58182
11/19/16	52851
11/20/16	57004
11/21/16	59180
11/22/16	165422
11/23/16	2238075
11/24/16	1561636
11/25/16	1749306
11/26/16	2281580
11/27/16	4220323
11/28/16	4387254
11/29/16	3317296
11/30/16	193248
12/1/16	53115
12/2/16	52807
12/3/16	54074
12/4/16	59326
12/5/16	58646
12/6/16	64394
12/7/16	53931
12/8/16	51795
12/9/16	54630
12/10/16	52847
12/11/16	51651
12/12/16	50091
12/13/16	56751
12/14/16	59307
12/15/16	56739
12/16/16	54268
12/17/16	49918
12/18/16	47527
12/19/16	58896
12/20/16	55370
12/21/16	64481
12/22/16	69313
12/23/16	55332
12/24/16	48123
12/25/16	44911
12/26/16	44544
12/27/16	54363
12/28/16	52838
12/29/16	57543
12/30/16	54269
12/31/16	51635
1/1/17	47457
1/2/17	51125
1/3/17	80797
1/4/17	64629
1/5/17	62425
1/6/17	56043
1/7/17	55968
1/8/17	57844
1/9/17	59993
1/10/17	64941
1/11/17	57481
1/12/17	64213
1/13/17	63014
1/14/17	51863
1/15/17	51484
1/16/17	56753
1/17/17	60688
1/18/17	59707
1/19/17	57716
1/20/17	62743
1/21/17	57080
1/22/17	60268
1/23/17	60823
1/24/17	65698
1/25/17	63885
1/26/17	63383
1/27/17	61690
1/28/17	58878
1/29/17	56296
1/30/17	61354
1/31/17	57052
2/1/17	60784
2/2/17	60966
2/3/17	59453
2/4/17	61114
2/5/17	60804
2/6/17	60721
2/7/17	67207
2/8/17	65985
2/9/17	75600
2/10/17	89373
2/11/17	70431
2/12/17	66272
2/13/17	78546
2/14/17	79266
2/15/17	80301
2/16/17	68517
2/17/17	66983
2/18/17	66524
2/19/17	61593
2/20/17	66084
2/21/17	75273
2/22/17	70620
2/23/17	63551
2/24/17	70192
2/25/17	78985
2/26/17	65675
2/27/17	74258
2/28/17	79898
3/1/17	79040
3/2/17	87564
3/3/17	83396
3/4/17	73344
3/5/17	70846
3/6/17	71519
3/7/17	75089
3/8/17	69617
3/9/17	82247
3/10/17	83608
3/11/17	83371
3/12/17	82652
3/13/17	103037
3/14/17	98167
3/15/17	105841
3/16/17	136770
3/17/17	138051
3/18/17	111192
3/19/17	103205
3/20/17	102456
3/21/17	104059
3/22/17	102791
3/23/17	103352
3/24/17	114203
3/25/17	106388
3/26/17	103848
3/27/17	128421
3/28/17	113973
3/29/17	120689
3/30/17	119769
3/31/17	132691
4/1/17	101322
4/2/17	117916
4/3/17	135397
4/4/17	111128
4/5/17	112785
4/6/17	119755
4/7/17	117647
4/8/17	91819
4/9/17	101966
4/10/17	101256
4/11/17	98486
4/12/17	101878
4/13/17	107543
4/14/17	108196
4/15/17	99240
4/16/17	93760
4/17/17	100721
4/18/17	121918
4/19/17	125398
4/20/17	118838
4/21/17	111090
4/22/17	102602
4/23/17	114220
4/24/17	113297
4/25/17	128158
4/26/17	127537
4/27/17	151638
4/28/17	142966
4/29/17	123696
4/30/17	142985
5/1/17	163753
5/2/17	158161
5/3/17	135158
5/4/17	155218
5/5/17	147724
5/6/17	133913
5/7/17	145073
5/8/17	166701
5/9/17	163015
5/10/17	168582
5/11/17	174164
5/12/17	166082
5/13/17	159666
5/14/17	161994
5/15/17	197915
5/16/17	190575
5/17/17	236833
5/18/17	241728
5/19/17	260351
5/20/17	222540
5/21/17	249337
5/22/17	267039
5/23/17	302417
5/24/17	313625
5/25/17	294214
5/26/17	279963
5/27/17	243538
5/28/17	259988
5/29/17	271481
5/30/17	362132
5/31/17	328055
6/1/17	333840
6/2/17	414384
6/3/17	302262
6/4/17	305796
6/5/17	315889
6/6/17	326969
6/7/17	356057
6/8/17	311487
6/9/17	340668
6/10/17	329505
6/11/17	357401
6/12/17	469724
6/13/17	438990
6/14/17	386945
6/15/17	393415
6/16/17	387172
6/17/17	378858
6/18/17	385168
6/19/17	448361
6/20/17	418468
6/21/17	352890
6/22/17	435571
6/23/17	437220
6/24/17	378210
6/25/17	364100
6/26/17	461534
6/27/17	415078
6/28/17	458653
6/29/17	432817
6/30/17	413155
7/1/17	357810
7/2/17	386318
7/3/17	459807
7/4/17	435668
7/5/17	418596
7/6/17	413687
7/7/17	468343
7/8/17	381083
7/9/17	341648
7/10/17	430693
7/11/17	474521
7/12/17	441319
7/13/17	422771
7/14/17	391089
7/15/17	358605
7/16/17	400039
7/17/17	412416
7/18/17	415506
7/19/17	411872
7/20/17	406627
7/21/17	365240
7/22/17	314369
7/23/17	393074
7/24/17	409551
7/25/17	366612
7/26/17	332608
7/27/17	320757
7/28/17	375534
7/29/17	289112
7/30/17	307242
7/31/17	369792
8/1/17	373300
8/2/17	389435
8/3/17	416941
8/4/17	419144
8/5/17	430639
8/6/17	427321
8/7/17	466029
8/8/17	502367
8/9/17	520242
8/10/17	537883
8/11/17	569553
8/12/17	554136
8/13/17	588838
8/14/17	670771
8/15/17	875552
8/16/17	758554
8/17/17	699806
8/18/17	716745
8/19/17	652743
8/20/17	553180
8/21/17	635813
8/22/17	582881
8/23/17	602666
8/24/17	556354
8/25/17	536814
8/26/17	499603
8/27/17	507241
8/28/17	591618
8/29/17	638765
8/30/17	637559
8/31/17	614691
9/1/17	642668
9/2/17	556239
9/3/17	504063
9/4/17	702262
9/5/17	683506
9/6/17	725669
9/7/17	700749
9/8/17	741962
9/9/17	614161
9/10/17	523446
9/11/17	581079
9/12/17	634773
9/13/17	592076
9/14/17	635778
9/15/17	752166
9/16/17	633839
9/17/17	548793
9/18/17	667685
9/19/17	611812
9/20/17	604077
9/21/17	616958
9/22/17	530457
9/23/17	469899
9/24/17	427989
9/25/17	500445
9/26/17	512738
9/27/17	516022
9/28/17	527208
9/29/17	498677
9/30/17	475068
10/1/17	471530
10/2/17	497768
10/3/17	523503
10/4/17	500783
10/5/17	471310
10/6/17	500498
10/7/17	482177
10/8/17	501137
10/9/17	518038
10/10/17	528881
10/11/17	506475
10/12/17	555766
10/13/17	615027
10/14/17	593214
10/15/17	523187
10/16/17	773914
10/17/17	762849
10/18/17	819410
10/19/17	887963
10/20/17	800928
10/21/17	645200
10/22/17	653019
10/23/17	811403
10/24/17	910490
10/25/17	806160
10/26/17	785175
10/27/17	800296
10/28/17	825277
10/29/17	822846
10/30/17	879326
10/31/17	941042
11/1/17	869697
11/2/17	876931
11/3/17	836609
11/4/17	711377
11/5/17	630743
11/6/17	737326
11/7/17	689568
11/8/17	804851
11/9/17	856051
11/10/17	812686
11/11/17	797475
11/12/17	851499
11/13/17	848527
11/14/17	845145
11/15/17	891143
11/16/17	879023
11/17/17	897691
11/18/17	824845
11/19/17	826446
11/20/17	888557
11/21/17	874537
11/22/17	866244
11/23/17	883172
11/24/17	920952
11/25/17	900782
11/26/17	964798
11/27/17	1060688
11/28/17	1087026
11/29/17	1090741
11/30/17	1025007
12/1/17	976019
12/2/17	1021122
12/3/17	1104599
12/4/17	1077570
12/5/17	1109939
12/6/17	1234675
12/7/17	1098918
12/8/17	1239946
12/9/17	1240956
12/10/17	1273132
12/11/17	1366621
12/12/17	1394050
12/13/17	1401796
12/14/17	1486050
12/15/17	1382891
12/16/17	1397908
12/17/17	1343541
12/18/17	1491697
12/19/17	1543719
12/20/17	1506774
12/21/17	1494560
12/22/17	1515253
12/23/17	1409718
12/24/17	1239329
12/25/17	1193336
12/26/17	1217924
12/27/17	1321822
12/28/17	1394947
12/29/17	1539092
12/30/17	1543421
12/31/17	1395664
1/1/18	1319902
1/2/18	1580616
1/3/18	1587753
1/4/18	1632974
1/5/18	1617857
1/6/18	1572651
1/7/18	1518348
1/8/18	1587770
1/9/18	1570264
1/10/18	1522325
1/11/18	1482119
1/12/18	1425500
1/13/18	1476900
1/14/18	1414529
1/15/18	1535305
1/16/18	1627947
1/17/18	1614559
1/18/18	1571534
1/19/18	1426915
1/20/18	1423568
1/21/18	1442113
1/22/18	1490789
1/23/18	1544449
1/24/18	1404955
1/25/18	1286943
1/26/18	1401060
1/27/18	1273433
1/28/18	1367312
1/29/18	1306631
1/30/18	1326569
1/31/18	1340412
2/1/18	1539575
2/2/18	1432504
2/3/18	1218808
2/4/18	1237965
2/5/18	1362121
2/6/18	1385265
2/7/18	1384428
2/8/18	1252846
2/9/18	1338183
2/10/18	1406957
2/11/18	1289332
2/12/18	1317690
2/13/18	1380066
2/14/18	1264276
2/15/18	1347425
2/16/18	1319588
2/17/18	1348147
2/18/18	1378557
2/19/18	1254460
2/20/18	1316591
2/21/18	1298002
2/22/18	1230316
2/23/18	1205381
2/24/18	1192295
2/25/18	1195510
2/26/18	1203349
2/27/18	1163319
2/28/18	1230143
3/1/18	1208388
3/2/18	1292569
3/3/18	1161383
3/4/18	1113554
3/5/18	1166164
3/6/18	1150658
3/7/18	1247156
3/8/18	1153730
3/9/18	1138064
3/10/18	1154414
3/11/18	1078121
3/12/18	1136690
3/13/18	1144332
3/14/18	1223182
3/15/18	1224308
3/16/18	1360390
3/17/18	1239438
3/18/18	1267636
3/19/18	1184520
3/20/18	1152011
3/21/18	1214630
3/22/18	1154330
3/23/18	1261861
3/24/18	1290493
3/25/18	1205926
3/26/18	1155458
3/27/18	1053776
3/28/18	1006195
3/29/18	1107553
3/30/18	1262171
3/31/18	1240943
4/1/18	1174378
4/2/18	1205354
4/3/18	1344746
4/4/18	1290719
4/5/18	1364853
4/6/18	1304992
4/7/18	1305955
4/8/18	1203879
4/9/18	1312621
4/10/18	1302304
4/11/18	1513825
4/12/18	1454712
4/13/18	1464439
4/14/18	1367179
4/15/18	1455326
4/16/18	1442168
4/17/18	1445739
4/18/18	1456625
4/19/18	1534323
4/20/18	1498277
4/21/18	1556303
4/22/18	1475991
4/23/18	1526010
4/24/18	1596198
4/25/18	1511892
4/26/18	1479310
4/27/18	1353299
4/28/18	1254863
4/29/18	1317806
4/30/18	1352495
5/1/18	1309315
5/2/18	1413654
5/3/18	1479238
5/4/18	1514939
5/5/18	1462553
5/6/18	1444301
5/7/18	1447013
5/8/18	1445377
5/9/18	1526601
5/10/18	1448206
5/11/18	1461597
5/12/18	1367291
5/13/18	1390959
5/14/18	1422960
5/15/18	1408519
5/16/18	1414661
5/17/18	1363127
5/18/18	1374139
5/19/18	1387940
5/20/18	1364169
5/21/18	1389782
5/22/18	1341221
5/23/18	1414327
5/24/18	1355590
5/25/18	1323911
5/26/18	1265921
5/27/18	1220317
5/28/18	1363238
5/29/18	1309312
5/30/18	1232801
5/31/18	1347895
6/1/18	1327218
6/2/18	1235560
6/3/18	1207822
6/4/18	1251217
6/5/18	1216834
6/6/18	1455322
6/7/18	1194890
6/8/18	1265857
6/9/18	1175339
6/10/18	1297235
6/11/18	1262261
6/12/18	1264398
6/13/18	1233243
6/14/18	1158608
6/15/18	1140592
6/16/18	1115817
6/17/18	1110805
6/18/18	1177742
6/19/18	1242154
6/20/18	1320924
6/21/18	1344784
6/22/18	1337804
6/23/18	1192724
6/24/18	1227542
6/25/18	1406328
6/26/18	1275555
6/27/18	1377103
6/28/18	1346035
6/29/18	1389840
6/30/18	1286776
7/1/18	1247297
