address	encoding	type	constant	name	signature	input_names
0xdac17f958d2ee523a2206206994597c13d831ec7	0x0ecb93c0	function	0	addBlackList	addBlackList(address)	_evilUser,
0xdac17f958d2ee523a2206206994597c13d831ec7	0x18160ddd	function	1	totalSupply	totalSupply()	
0xdac17f958d2ee523a2206206994597c13d831ec7	0x23b872dd	function	0	transferFrom	transferFrom(address,address,uint256)	_from,_to,_value,
0xdac17f958d2ee523a2206206994597c13d831ec7	0x26976e3f	function	1	upgradedAddress	upgradedAddress()	
0xdac17f958d2ee523a2206206994597c13d831ec7	0x27e235e3	function	1	balances	balances(address)	param_0,
0xdac17f958d2ee523a2206206994597c13d831ec7	0x313ce567	function	1	decimals	decimals()	
0xdac17f958d2ee523a2206206994597c13d831ec7	0x35390714	function	1	maximumFee	maximumFee()	
0xdac17f958d2ee523a2206206994597c13d831ec7	0x3f4ba83a	function	0	unpause	unpause()	
0xdac17f958d2ee523a2206206994597c13d831ec7	0x59bf1abe	function	1	getBlackListStatus	getBlackListStatus(address)	_maker,
0xdac17f958d2ee523a2206206994597c13d831ec7	0x5c658165	function	1	allowed	allowed(address,address)	param_0,param_1,
0xdac17f958d2ee523a2206206994597c13d831ec7	0x5c975abb	function	1	paused	paused()	
0xdac17f958d2ee523a2206206994597c13d831ec7	0x70a08231	function	1	balanceOf	balanceOf(address)	who,
0xdac17f958d2ee523a2206206994597c13d831ec7	0x8456cb59	function	0	pause	pause()	
0xdac17f958d2ee523a2206206994597c13d831ec7	0x893d20e8	function	1	getOwner	getOwner()	
0xdac17f958d2ee523a2206206994597c13d831ec7	0x8da5cb5b	function	1	owner	owner()	
0xdac17f958d2ee523a2206206994597c13d831ec7	0x95d89b41	function	1	symbol	symbol()	
0xdac17f958d2ee523a2206206994597c13d831ec7	0xa9059cbb	function	0	transfer	transfer(address,uint256)	_to,_value,
0xdac17f958d2ee523a2206206994597c13d831ec7	0xc0324c77	function	0	setParams	setParams(uint256,uint256)	newBasisPoints,newMaxFee,
0xdac17f958d2ee523a2206206994597c13d831ec7	0xcc872b66	function	0	issue	issue(uint256)	amount,
0xdac17f958d2ee523a2206206994597c13d831ec7	0xdb006a75	function	0	redeem	redeem(uint256)	amount,
0xdac17f958d2ee523a2206206994597c13d831ec7	0xdd62ed3e	function	1	allowance	allowance(address,address)	_owner,_spender,
0xdac17f958d2ee523a2206206994597c13d831ec7	0xdd644f72	function	1	basisPointsRate	basisPointsRate()	
0xdac17f958d2ee523a2206206994597c13d831ec7	0xe47d6060	function	1	isBlackListed	isBlackListed(address)	param_0,
0xdac17f958d2ee523a2206206994597c13d831ec7	0xe4997dc5	function	0	removeBlackList	removeBlackList(address)	_clearedUser,
0xdac17f958d2ee523a2206206994597c13d831ec7	0xa40c08a3	function	1	MAXUINT	MAXUINT()	
0xdac17f958d2ee523a2206206994597c13d831ec7	0xf2fde38b	function	0	transferOwnership	transferOwnership(address)	newOwner,
0xdac17f958d2ee523a2206206994597c13d831ec7	0xf3bdc228	function	0	destroyBlackFunds	destroyBlackFunds(address)	_blackListedUser,
0xdac17f958d2ee523a2206206994597c13d831ec7	0xcb8241adb0c3fdb35b70c24ce35c5eb0c17af7431c99f827d44a445ca624176a	event	0	Issue	Issue(uint256)	amount,
0xdac17f958d2ee523a2206206994597c13d831ec7	0x702d5967f45f6513a38ffc42d6ba9bf230bd40e8f53b16363c7eb4fd2deb9a44	event	0	Redeem	Redeem(uint256)	amount,
0xdac17f958d2ee523a2206206994597c13d831ec7	0xcc358699805e9a8b7f77b522628c7cb9abd07d9efb86b6fb616af1609036a99e	event	0	Deprecate	Deprecate(address)	newAddress,
0xdac17f958d2ee523a2206206994597c13d831ec7	0xb044a1e409eac5c48e5af22d4af52670dd1a99059537a78b31b48c6500a6354e	event	0	Params	Params(uint256,uint256)	feeBasisPoints,maxFee,
0xdac17f958d2ee523a2206206994597c13d831ec7	0x61e6e66b0d6339b2980aecc6ccc0039736791f0ccde9ed512e789a7fbdd698c6	event	0	DestroyedBlackFunds	DestroyedBlackFunds(address,uint256)	_blackListedUser,_balance,
0xdac17f958d2ee523a2206206994597c13d831ec7	0x42e160154868087d6bfdc0ca23d96a1c1cfa32f1b72ba9ba27b69b98a0d819dc	event	0	AddedBlackList	AddedBlackList(address)	_user,
