988725,1,creation
988728,2,log_0_generator
988728,2,to
988732,4,log_0_generator
988732,4,to
988733,2,log_0_generator
988733,2,to
988737,9,log_0_generator
988737,9,to
988752,3,to
988775,1,input
988775,1,log_0_data
988775,1,log_0_generator
988775,1,to
988775,1,trace_1_from
988781,5,input
988783,4,log_0_generator
988783,4,to
988784,1,trace_1_to
988831,2,to
988838,0,input
988840,0,trace_1_to
988850,5,log_0_topic_1
988850,5,to
988850,5,trace_1_from
988957,4,to
988961,3,log_0_generator
988961,3,to
988966,3,log_0_topic_1
988966,3,to
988966,3,trace_1_from
988970,1,log_0_generator
988970,1,to
988970,1,trace_1_from
988970,1,trace_2_from
988970,1,trace_3_from
988970,1,trace_3_to
988972,2,log_0_topic_1
988972,2,to
988972,2,trace_1_from
988986,0,log_0_generator
988986,0,to
989042,2,log_0_topic_1
989042,2,to
989042,2,trace_1_from
989198,3,log_0_topic_1
989198,3,to
989198,3,trace_1_from
989332,2,log_0_generator
989332,2,to
989345,2,log_0_generator
989345,2,to
992893,13,log_0_topic_1
992893,13,to
992893,13,trace_1_from
994377,3,log_0_topic_1
994377,3,to
994377,3,trace_1_from
994542,7,log_0_topic_1
994542,7,to
994542,7,trace_1_from
997079,10,log_0_topic_1
997079,10,to
997079,10,trace_1_from
1014512,3,log_0_topic_1
1014512,3,to
1014512,3,trace_1_from
1016810,6,log_0_topic_1
1016810,6,to
1016810,6,trace_1_from
1017545,4,log_0_topic_1
1017545,4,to
1017545,4,trace_1_from
1044737,1,log_0_topic_1
1044737,1,to
1044737,1,trace_1_from
1079183,2,log_0_topic_1
1079183,2,to
1079183,2,trace_1_from
1100002,3,log_0_topic_1
1100002,3,to
1100002,3,trace_1_from
1100282,1,log_0_topic_1
1100282,1,to
1100282,1,trace_1_from
1100282,2,log_0_topic_1
1100282,2,to
1100282,2,trace_1_from
1100283,1,log_0_topic_1
1100283,1,to
1100283,1,trace_1_from
1115023,27,log_0_topic_1
1115023,27,to
1115023,27,trace_1_from
1117037,2,log_0_topic_1
1117037,2,to
1117037,2,trace_1_from
1118595,2,log_0_topic_1
1118595,2,to
1118595,2,trace_1_from
1119952,9,log_0_topic_1
1119952,9,to
1119952,9,trace_1_from
1120743,14,log_0_topic_1
1120743,14,to
1120743,14,trace_1_from
1120759,4,log_0_topic_1
1120759,4,to
1120759,4,trace_1_from
1123616,3,log_0_topic_1
1123616,3,to
1123616,3,trace_1_from
1124028,1,log_0_topic_1
1124028,1,to
1124028,1,trace_1_from
1124085,1,to
1124203,14,log_0_topic_1
1124203,14,to
1124203,14,trace_1_from
1124936,1,log_0_topic_1
1124936,1,to
1124936,1,trace_1_from
1125164,2,log_0_topic_1
1125164,2,to
1125164,2,trace_1_from
1126338,0,log_0_topic_1
1126338,0,to
1126338,0,trace_1_from
1126536,0,log_0_topic_1
1126536,0,to
1126536,0,trace_1_from
1126547,12,log_0_topic_1
1126547,12,to
1126547,12,trace_1_from
1126568,0,log_0_topic_1
1126568,0,to
1126568,0,trace_1_from
1126896,2,log_0_topic_1
1126896,2,to
1126896,2,trace_1_from
1127074,0,log_0_topic_1
1127074,0,to
1127074,0,trace_1_from
1127105,0,log_0_topic_1
1127105,0,to
1127105,0,trace_1_from
1127187,0,log_0_topic_1
1127187,0,to
1127187,0,trace_1_from
1127191,0,log_0_topic_1
1127191,0,to
1127191,0,trace_1_from
1127205,1,log_0_topic_1
1127205,1,to
1127205,1,trace_1_from
1129597,0,to
1129684,1,log_0_topic_1
1129684,1,to
1129684,1,trace_1_from
1129739,7,log_0_topic_1
1129739,7,to
1129739,7,trace_1_from
1133053,2,log_0_topic_1
1133053,2,to
1133053,2,trace_1_from
1138732,2,log_0_topic_1
1138732,2,to
1138732,2,trace_1_from
1139312,1,log_0_topic_1
1139312,1,to
1139312,1,trace_1_from
1139430,10,log_0_topic_1
1139430,10,to
1139430,10,trace_1_from
1140063,0,log_0_topic_1
1140063,0,to
1140063,0,trace_1_from
1142005,3,log_0_topic_1
1142005,3,to
1142005,3,trace_1_from
1142010,1,log_0_topic_1
1142010,1,to
1142010,1,trace_1_from
1142017,2,log_0_topic_1
1142017,2,to
1142017,2,trace_1_from
1142024,1,log_0_topic_1
1142024,1,to
1142024,1,trace_1_from
1142180,0,log_0_topic_1
1142180,0,to
1142180,0,trace_1_from
1142633,26,log_0_topic_1
1142633,26,to
1142633,26,trace_1_from
1143130,22,log_0_topic_1
1143130,22,to
1143130,22,trace_1_from
1144426,2,log_0_topic_1
1144426,2,to
1144426,2,trace_1_from
1144581,5,log_0_topic_1
1144581,5,to
1144581,5,trace_1_from
1144588,2,log_0_topic_1
1144588,2,to
1144588,2,trace_1_from
1144754,1,log_0_topic_1
1144754,1,to
1144754,1,trace_1_from
1144778,1,log_0_topic_1
1144778,1,to
1144778,1,trace_1_from
1145194,5,log_0_topic_1
1145194,5,to
1145194,5,trace_1_from
1145263,15,log_0_topic_1
1145263,15,to
1145263,15,trace_1_from
1145434,0,log_0_topic_1
